,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,close_raw,open_raw,high_raw,low_raw,price_type
0,000002.SZ,2025-05-28,6.730011846623662,6.760011899431791,6.670011741007403,6.680011758610113,6.67,0.01,0.1499,407588.13,273180.924,6.68,6.73,6.76,6.67,forward_adjusted
1,000002.SZ,2025-05-29,6.670011661365471,6.730011766265311,6.670011661365471,6.700011713815391,6.68,0.02,0.2994,463600.67,310716.34,6.7,6.67,6.73,6.67,forward_adjusted
2,000002.SZ,2025-05-30,6.680013187887561,6.700013227372255,6.640013108918175,6.640013108918174,6.7,-0.06,-0.8955,487420.45,324963.633,6.64,6.68,6.7,6.64,forward_adjusted
3,000002.SZ,2025-06-03,6.580013950465989,6.60001399286862,6.540013865660724,6.580013950465989,6.64,-0.06,-0.9036,646833.05,424995.229,6.58,6.58,6.6,6.54,forward_adjusted
4,000002.SZ,2025-06-04,6.590013792482635,6.640013897129696,6.5700137506238105,6.620013855270871,6.58,0.04,0.6079,506251.52,334336.923,6.62,6.59,6.64,6.57,forward_adjusted
5,000002.SZ,2025-06-05,6.610012858767129,6.660012956034656,6.590012819860117,6.640012917127644,6.62,0.02,0.3021,511212.93,338787.186,6.64,6.61,6.66,6.59,forward_adjusted
6,000002.SZ,2025-06-06,6.640013561007684,6.660013601854093,6.590013458891662,6.600013479314867,6.64,-0.04,-0.6024,452610.67,299302.131,6.6,6.64,6.66,6.59,forward_adjusted
7,000002.SZ,2025-06-09,6.60001148535309,6.640011554961291,6.58001145054899,6.620011520157191,6.6,0.02,0.303,443997.02,293716.18,6.62,6.6,6.64,6.58,forward_adjusted
8,000002.SZ,2025-06-10,6.630012522015501,6.730012710884513,6.560012389807191,6.600012465354796,6.62,-0.02,-0.3021,1041358.18,691420.608,6.6,6.63,6.73,6.56,forward_adjusted
9,000002.SZ,2025-06-11,6.570015408699758,6.610015502512238,6.540015338340399,6.570015408699758,6.6,-0.03,-0.4545,990420.83,651195.583,6.57,6.57,6.61,6.54,forward_adjusted
10,000002.SZ,2025-06-12,6.550018138758556,6.560018166451317,6.480017944909229,6.5100180279875115,6.57,-0.06,-0.9132,1076520.62,700371.589,6.51,6.55,6.56,6.48,forward_adjusted
11,000002.SZ,2025-06-13,6.5000159513760325,6.510015975916611,6.420015755051405,6.440015804132562,6.51,-0.07,-1.0753,876150.48,565615.424,6.44,6.5,6.51,6.42,forward_adjusted
12,000002.SZ,2025-06-16,6.460013729372891,6.630014090672177,6.450013708119991,6.570013963154782,6.44,0.13,2.0186,1302348.1,852638.649,6.57,6.46,6.63,6.45,forward_adjusted
13,000002.SZ,2025-06-17,6.570015814429774,6.580015838500444,6.510015670005758,6.530015718147096,6.57,-0.04,-0.6088,582390.89,380340.184,6.53,6.57,6.58,6.51,forward_adjusted
14,000002.SZ,2025-06-18,6.510012647498482,6.530012686354085,6.420012472648272,6.440012511503875,6.53,-0.09,-1.3783,635396.3,409956.627,6.44,6.51,6.53,6.42,forward_adjusted
15,000002.SZ,2025-06-19,6.420009465806988,6.430009480551235,6.300009288876016,6.320009318364511,6.44,-0.12,-1.8634,854546.22,542431.839,6.32,6.42,6.43,6.3,forward_adjusted
16,000002.SZ,2025-06-20,6.330008286493543,6.34000829958437,6.280008221039408,6.2900082341302355,6.32,-0.03,-0.4747,524484.9,330716.435,6.29,6.33,6.34,6.28,forward_adjusted
17,000002.SZ,2025-06-23,6.260008194857753,6.3000082472210615,6.210008129403618,6.2900082341302355,6.29,0.0,0.0,551511.87,344849.288,6.29,6.26,6.3,6.21,forward_adjusted
18,000002.SZ,2025-06-24,6.2900085412015025,6.370008649833636,6.280008527622487,6.350008622675603,6.29,0.06,0.9539,620282.82,393091.824,6.35,6.29,6.37,6.28,forward_adjusted
19,000002.SZ,2025-06-25,6.340005946884574,6.430006031304071,6.3200059281246865,6.430006031304071,6.35,0.08,1.2598,820903.69,524029.286,6.43,6.34,6.43,6.32,forward_adjusted
20,000002.SZ,2025-06-26,6.4200049870874745,6.440005002623574,6.380004956015279,6.390004963783328,6.43,-0.04,-0.6221,660620.72,423203.563,6.39,6.42,6.44,6.38,forward_adjusted
21,000002.SZ,2025-06-27,6.390004963783327,6.480005033695769,6.380004956015279,6.390004963783328,6.39,0.0,0.0,786785.74,504925.348,6.39,6.39,6.48,6.38,forward_adjusted
22,000002.SZ,2025-06-30,6.400006018281161,6.450006065298982,6.390006008877596,6.42000603708829,6.39,0.03,0.4695,604073.48,387396.028,6.42,6.4,6.45,6.39,forward_adjusted
23,000002.SZ,2025-07-01,6.420008807295619,6.420008807295619,6.310008656391799,6.350008711265916,6.42,-0.07,-1.0903,598318.0,380416.981,6.35,6.42,6.42,6.31,forward_adjusted
24,000002.SZ,2025-07-02,6.360008431445582,6.52000864355742,6.340008404931601,6.50000861704344,6.35,0.15,2.3622,1310859.04,843883.002,6.5,6.36,6.52,6.34,forward_adjusted
25,000002.SZ,2025-07-03,6.480007587432155,6.550007669395156,6.440007540596154,6.4600075640141545,6.5,-0.04,-0.6154,810140.12,524884.085,6.46,6.48,6.55,6.44,forward_adjusted
26,000002.SZ,2025-07-04,6.480007426438178,6.520007472280388,6.410007346214308,6.440007380595967,6.46,-0.02,-0.3096,786688.47,507693.643,6.44,6.48,6.52,6.41,forward_adjusted
27,000002.SZ,2025-07-07,6.440005089059598,6.590005207593594,6.440005089059598,6.520005152277729,6.44,0.08,1.2422,1205381.48,788025.611,6.52,6.44,6.59,6.44,forward_adjusted
28,000002.SZ,2025-07-08,6.51000534285123,6.580005400301243,6.470005310022651,6.560005383886954,6.52,0.04,0.6135,934783.26,610035.074,6.56,6.51,6.58,6.47,forward_adjusted
29,000002.SZ,2025-07-09,6.540003927471482,6.580003951492715,6.520003915460866,6.540003927471482,6.56,-0.02,-0.3049,735916.57,481726.01,6.54,6.54,6.58,6.52,forward_adjusted
30,000002.SZ,2025-07-10,6.520003008833102,6.870003170350218,6.510003004218328,6.7600031195876955,6.54,0.22,3.3639,2517029.13,1686568.539,6.76,6.52,6.87,6.51,forward_adjusted
31,000002.SZ,2025-07-11,6.750003114972921,6.79000313343202,6.680003082669498,6.7600031195876955,6.76,0.0,0.0,1628706.59,1099511.183,6.76,6.75,6.79,6.68,forward_adjusted
32,000002.SZ,2025-07-14,6.730002418595907,6.790002440158426,6.6300023826583745,6.660002393439634,6.76,-0.1,-1.4793,1205525.25,804732.025,6.66,6.73,6.79,6.63,forward_adjusted
33,000002.SZ,2025-07-15,6.640002446615786,6.650002450300449,6.460002380291864,6.600002431877137,6.66,-0.06,-0.9009,1521320.47,995641.915,6.6,6.64,6.65,6.46,forward_adjusted
34,000002.SZ,2025-07-16,6.549999817416284,6.649999814628746,6.529999817973791,6.5599998171375296,6.6,-0.04,-0.6061,849081.16,558859.431,6.56,6.55,6.65,6.53,forward_adjusted
35,000002.SZ,2025-07-17,6.5599998171375296,6.589999816301268,6.509999818531298,6.5599998171375296,6.56,0.0,0.0,709663.7,464455.717,6.56,6.56,6.59,6.51,forward_adjusted
36,000002.SZ,2025-07-18,6.569997256858848,6.589997248508341,6.539997269384607,6.569997256858848,6.56,0.01,0.1524,574030.03,376631.218,6.57,6.57,6.59,6.54,forward_adjusted
37,000002.SZ,2025-07-21,6.55999588939831,6.609995858067506,6.5499958956644715,6.599995864333666,6.57,0.03,0.4566,744110.98,490610.467,6.6,6.56,6.61,6.55,forward_adjusted
38,000002.SZ,2025-07-22,6.609999015080453,6.7199989986899595,6.52999902700081,6.69999900167005,6.6,0.1,1.5152,1488010.4,987611.725,6.7,6.61,6.72,6.53,forward_adjusted
39,000002.SZ,2025-07-23,6.729998496455944,6.829998474115022,6.679998507626404,6.719998498690035,6.7,0.02,0.2985,1706754.31,1152841.043,6.72,6.73,6.83,6.68,forward_adjusted
40,000002.SZ,2025-07-24,6.699999447651401,6.839999436109788,6.669999450124603,6.809999438582991,6.72,0.09,1.3393,1842329.87,1250384.461,6.81,6.7,6.84,6.67,forward_adjusted
41,000002.SZ,2025-07-25,6.810001397211146,6.840001403366262,6.760001386952621,6.780001391056032,6.81,-0.03,-0.4405,1235949.26,838988.937,6.78,6.81,6.84,6.76,forward_adjusted
42,000002.SZ,2025-07-28,6.780001890319758,6.840001907048251,6.680001862438935,6.790001893107839,6.78,0.01,0.1475,1194041.53,808397.624,6.79,6.78,6.84,6.68,forward_adjusted
43,000002.SZ,2025-07-29,6.760005200221755,6.8100052386849335,6.700005154065941,6.810005238684934,6.79,0.02,0.2946,993478.99,672095.323,6.81,6.76,6.81,6.7,forward_adjusted
44,000002.SZ,2025-07-30,6.800003272184822,6.880003310681114,6.690003219252421,6.7000032240644565,6.81,-0.11,-1.6153,1589277.96,1079201.559,6.7,6.8,6.88,6.69,forward_adjusted
45,000002.SZ,2025-07-31,6.67000300248539,6.680003006986867,6.4200028899484565,6.440002898951411,6.7,-0.26,-3.8806,2299510.72,1496029.078,6.44,6.67,6.68,6.42,forward_adjusted
46,000002.SZ,2025-08-01,6.440002737699382,6.460002746201554,6.390002716443951,6.390002716443952,6.44,-0.05,-0.7764,923603.71,592783.868,6.39,6.44,6.46,6.39,forward_adjusted
47,000002.SZ,2025-08-04,6.370003403573903,6.4100034249464235,6.350003392887642,6.410003424946423,6.39,0.02,0.313,590303.69,376646.7,6.41,6.37,6.41,6.35,forward_adjusted
48,000002.SZ,2025-08-05,6.410001834868055,6.45000184631809,6.390001829143037,6.450001846318089,6.41,0.04,0.624,652634.13,419615.794,6.45,6.41,6.45,6.39,forward_adjusted
49,000002.SZ,2025-08-06,6.4300043367117965,6.450004350200792,6.400004316478306,6.4400043434562955,6.45,-0.01,-0.155,568470.05,365204.938,6.44,6.43,6.45,6.4,forward_adjusted
50,000002.SZ,2025-08-07,6.430001872042439,6.480001886599535,6.400001863308183,6.4700018836881155,6.44,0.03,0.4658,776038.31,500342.603,6.47,6.43,6.48,6.4,forward_adjusted
51,000002.SZ,2025-08-08,6.460003112684032,6.470003117502428,6.420003093410447,6.450003107865636,6.47,-0.02,-0.3091,514307.38,331191.661,6.45,6.46,6.47,6.42,forward_adjusted
52,000002.SZ,2025-08-11,6.480002072320318,6.520002085112418,6.470002069122293,6.480002072320319,6.45,0.03,0.4651,821788.78,533689.824,6.48,6.48,6.52,6.47,forward_adjusted
53,000002.SZ,2025-08-12,6.460003423822695,6.500003445022835,6.45000341852266,6.4700034291227295,6.48,-0.01,-0.1543,734217.61,475510.584,6.47,6.46,6.5,6.45,forward_adjusted
54,000002.SZ,2025-08-13,6.480000806309918,6.500000808798528,6.43000080008839,6.4600008038213055,6.47,-0.01,-0.1546,810742.21,524044.608,6.46,6.48,6.5,6.43,forward_adjusted
55,000002.SZ,2025-08-14,6.460000562701525,6.55000057054102,6.43000056008836,6.430000560088359,6.46,-0.03,-0.4644,1201423.07,779372.848,6.43,6.46,6.55,6.43,forward_adjusted
56,000002.SZ,2025-08-15,6.429999929889223,6.589999928144632,6.41999992999826,6.529999928798854,6.43,0.1,1.5552,1595368.35,1041380.521,6.53,6.43,6.59,6.42,forward_adjusted
57,000002.SZ,2025-08-18,6.530001114244995,6.5600011193640375,6.480001105713257,6.500001109125952,6.53,-0.03,-0.4594,1381625.42,898811.495,6.5,6.53,6.56,6.48,forward_adjusted
58,000002.SZ,2025-08-19,6.539998612122431,6.609998597267472,6.509998618488841,6.529998614244568,6.5,0.03,0.4615,1624186.52,1066264.304,6.53,6.54,6.61,6.51,forward_adjusted
59,000002.SZ,2025-08-20,6.52,6.6,6.49,6.55,6.53,0.02,0.3063,1299582.3,847768.491,6.55,6.52,6.6,6.49,forward_adjusted
